result_position,bridge_signature,rule_id,edge_count
176,Al-O-Si,T-O-T,96
177,Al-O-Si,T-O-T,96
178,Al-O-Si,T-O-T,96
179,Al-O-Si,T-O-T,96
180,Al-O-Si,T-O-T,96
181,Al-O-Si,T-O-T,96
182,Al-O-Si,T-O-T,96
183,Al-O-Si,T-O-T,96
184,Al-O-Si,T-O-T,96
185,Al-O-Si,T-O-T,96
186,Al-O-Si,T-O-T,96
187,Al-O-Si,T-O-T,96
188,Al-O-Si,T-O-T,96
189,Al-O-Si,T-O-T,96
190,Al-O-Si,T-O-T,96
191,Al-O-Si,T-O-T,96
192,Al-O-Si,T-O-T,96
193,Al-O-Si,T-O-T,96
194,Al-O-Si,T-O-T,96
195,Al-O-Si,T-O-T,96
196,Al-O-Si,T-O-T,96
197,Al-O-Si,T-O-T,96
198,Al-O-Si,T-O-T,96
199,Al-O-Si,T-O-T,96
200,Al-O-Si,T-O-T,96
201,Al-O-Si,T-O-T,96
202,Al-O-Si,T-O-T,96
203,Al-O-Si,T-O-T,96
204,Al-O-Si,T-O-T,96
205,Al-O-Si,T-O-T,96
206,Al-O-Si,T-O-T,96
207,Al-O-Si,T-O-T,96
208,Al-O-Si,T-O-T,96
209,Al-O-Si,T-O-T,96
210,Al-O-Si,T-O-T,96
211,Al-O-Si,T-O-T,96
212,Al-O-Si,T-O-T,96
213,Al-O-Si,T-O-T,96
214,Al-O-Si,T-O-T,96
215,Al-O-Si,T-O-T,96
216,Al-O-Si,T-O-T,96
217,Al-O-Si,T-O-T,96
218,Al-O-Si,T-O-T,96
219,Al-O-Si,T-O-T,96
220,Al-O-Si,T-O-T,96
221,Al-O-Si,T-O-T,96
222,Al-O-Si,T-O-T,96
223,Al-O-Si,T-O-T,96
224,Al-O-Si,T-O-T,96
225,Al-O-Si,T-O-T,96
226,Al-O-Si,T-O-T,96
227,Al-O-Si,T-O-T,96
228,Al-O-Si,T-O-T,96
229,Al-O-Si,T-O-T,96
230,Al-O-Si,T-O-T,96
231,Al-O-Si,T-O-T,96
232,Al-O-Si,T-O-T,96
233,Al-O-Si,T-O-T,96
234,Al-O-Si,T-O-T,96
235,Al-O-Si,T-O-T,96
236,Al-O-Si,T-O-T,96
237,Al-O-Si,T-O-T,96
238,Al-O-Si,T-O-T,96
239,Al-O-Si,T-O-T,96
240,Al-O-Si,T-O-T,96
241,Al-O-Si,T-O-T,96
242,Al-O-Si,T-O-T,96
243,Al-O-Si,T-O-T,96
244,Al-O-Si,T-O-T,96
245,Al-O-Si,T-O-T,96
246,Al-O-Si,T-O-T,96
247,Al-O-Si,T-O-T,96
248,Al-O-Si,T-O-T,96
249,Al-O-Si,T-O-T,96
250,Al-O-Si,T-O-T,96
251,Al-O-Si,T-O-T,96
252,Al-O-Si,T-O-T,96
253,Al-O-Si,T-O-T,96
254,Al-O-Si,T-O-T,96
255,Al-O-Si,T-O-T,96
256,Al-O-Si,T-O-T,96
257,Al-O-Si,T-O-T,96
258,Al-O-Si,T-O-T,96
259,Al-O-Si,T-O-T,96
260,Al-O-Si,T-O-T,96
261,Al-O-Si,T-O-T,96
