edge_key_json,frame_count,probability
"{""image_shift"":[0,-1,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[80],""rule_id"":""T-O-T"",""vertex_i"":8,""vertex_j"":32}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,1,0]],""internal_linker_indices"":[140],""rule_id"":""T-O-T"",""vertex_i"":8,""vertex_j"":39}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,1,0]],""internal_linker_indices"":[56],""rule_id"":""T-O-T"",""vertex_i"":8,""vertex_j"":46}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[57],""rule_id"":""T-O-T"",""vertex_i"":9,""vertex_j"":24}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[111],""rule_id"":""T-O-T"",""vertex_i"":9,""vertex_j"":27}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[81],""rule_id"":""T-O-T"",""vertex_i"":9,""vertex_j"":33}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[139],""rule_id"":""T-O-T"",""vertex_i"":9,""vertex_j"":38}",2000,1.0
"{""image_shift"":[-1,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[112],""rule_id"":""T-O-T"",""vertex_i"":10,""vertex_j"":29}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[82],""rule_id"":""T-O-T"",""vertex_i"":10,""vertex_j"":34}",2000,1.0
"{""image_shift"":[-1,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[141],""rule_id"":""T-O-T"",""vertex_i"":10,""vertex_j"":40}",2000,1.0
"{""image_shift"":[-1,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[58],""rule_id"":""T-O-T"",""vertex_i"":10,""vertex_j"":45}",2000,1.0
"{""image_shift"":[-1,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[113],""rule_id"":""T-O-T"",""vertex_i"":11,""vertex_j"":28}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[1,0,0]],""internal_linker_indices"":[83],""rule_id"":""T-O-T"",""vertex_i"":11,""vertex_j"":35}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[1,0,0]],""internal_linker_indices"":[143],""rule_id"":""T-O-T"",""vertex_i"":11,""vertex_j"":42}",2000,1.0
"{""image_shift"":[-1,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[59],""rule_id"":""T-O-T"",""vertex_i"":11,""vertex_j"":43}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[114],""rule_id"":""T-O-T"",""vertex_i"":12,""vertex_j"":30}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[84],""rule_id"":""T-O-T"",""vertex_i"":12,""vertex_j"":36}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[142],""rule_id"":""T-O-T"",""vertex_i"":12,""vertex_j"":41}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[60],""rule_id"":""T-O-T"",""vertex_i"":12,""vertex_j"":44}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[61],""rule_id"":""T-O-T"",""vertex_i"":13,""vertex_j"":28}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[115],""rule_id"":""T-O-T"",""vertex_i"":13,""vertex_j"":32}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[85],""rule_id"":""T-O-T"",""vertex_i"":13,""vertex_j"":37}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[132],""rule_id"":""T-O-T"",""vertex_i"":13,""vertex_j"":43}",2000,1.0
"{""image_shift"":[1,-1,0],""internal_linker_image_offsets"":[[1,0,-1]],""internal_linker_indices"":[62],""rule_id"":""T-O-T"",""vertex_i"":14,""vertex_j"":30}",2000,1.0
"{""image_shift"":[0,-1,1],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[116],""rule_id"":""T-O-T"",""vertex_i"":14,""vertex_j"":31}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,1,-1]],""internal_linker_indices"":[86],""rule_id"":""T-O-T"",""vertex_i"":14,""vertex_j"":38}",2000,1.0
"{""image_shift"":[1,-1,0],""internal_linker_image_offsets"":[[1,0,-1]],""internal_linker_indices"":[134],""rule_id"":""T-O-T"",""vertex_i"":14,""vertex_j"":44}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[63],""rule_id"":""T-O-T"",""vertex_i"":15,""vertex_j"":29}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[117],""rule_id"":""T-O-T"",""vertex_i"":15,""vertex_j"":33}",2000,1.0
"{""image_shift"":[0,0,1],""internal_linker_image_offsets"":[[0,0,1]],""internal_linker_indices"":[87],""rule_id"":""T-O-T"",""vertex_i"":15,""vertex_j"":39}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[133],""rule_id"":""T-O-T"",""vertex_i"":15,""vertex_j"":45}",2000,1.0
"{""image_shift"":[0,-1,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[64],""rule_id"":""T-O-T"",""vertex_i"":16,""vertex_j"":25}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,1,0]],""internal_linker_indices"":[118],""rule_id"":""T-O-T"",""vertex_i"":16,""vertex_j"":35}",2000,1.0
"{""image_shift"":[-1,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[88],""rule_id"":""T-O-T"",""vertex_i"":16,""vertex_j"":40}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,1,0]],""internal_linker_indices"":[135],""rule_id"":""T-O-T"",""vertex_i"":16,""vertex_j"":46}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[137],""rule_id"":""T-O-T"",""vertex_i"":17,""vertex_j"":24}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[65],""rule_id"":""T-O-T"",""vertex_i"":17,""vertex_j"":27}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[119],""rule_id"":""T-O-T"",""vertex_i"":17,""vertex_j"":34}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[89],""rule_id"":""T-O-T"",""vertex_i"":17,""vertex_j"":41}",2000,1.0
